COUNTRYNAME,LANDSIZE,POP,GDP,GDPPER
Russia,"17,098,246"," 145,934,462 "," $1,829,050.00 "," $12,533.37 "
Canada,"9,984,670"," 37,742,154 "," $2,221,218.00 "," $58,852.44 "
China,"9,596,961"," 1,439,323,776 "," $19,911,593.00 "," $13,833.99 "
United States,"9,525,067"," 331,002,651 "," $25,346,805.00 "," $76,575.84 "
Brazil,"8,515,767"," 212,559,417 "," $1,833,274.00 "," $8,624.76 "
Australia,"7,692,024"," 25,499,884 "," $1,748,334.00 "," $68,562.43 "
India,"3,287,263"," 1,380,004,385 "," $3,291,398.00 "," $2,385.06 "
Argentina,"2,780,400"," 45,195,774 "," $564,277.00 "," $12,485.17 "
Kazakhstan,"2,724,900"," 18,776,707 "," $193,611.00 "," $10,311.23 "
Algeria,"2,381,741"," 43,851,044 "," $193,601.00 "," $4,414.97 "
DR Congo,"2,344,858"," 89,561,403 "," $64,795.00 ", $723.47 
Saudi Arabia,"2,149,690"," 34,813,871 "," $1,040,166.00 "," $29,877.92 "
Mexico,"1,964,375"," 128,932,753 "," $1,322,740.00 "," $10,259.15 "
Indonesia,"1,904,569"," 273,523,615 "," $1,289,295.00 "," $4,713.65 "
Sudan,"1,861,484"," 43,849,260 "," $31,460.00 ", $717.46 
Libya,"1,759,540"," 6,871,292 "," $48,773.00 "," $7,098.08 "
Iran,"1,648,195"," 83,992,949 "," $1,739,012.00 "," $20,704.26 "
Mongolia,"1,564,110"," 3,278,290 "," $18,102.00 "," $5,521.78 "
Peru,"1,285,216"," 32,971,854 "," $240,346.00 "," $7,289.43 "
Chad,"1,284,000"," 16,425,864 "," $12,938.00 ", $787.66 
Niger,"1,267,000"," 24,206,644 "," $15,620.00 ", $645.28 
Angola,"1,246,700"," 32,866,272 "," $124,862.00 "," $3,799.09 "
Mali,"1,240,192"," 20,250,833 "," $19,264.00 ", $951.27 
South Africa,"1,221,037"," 59,308,690 "," $426,166.00 "," $7,185.56 "
Colombia,"1,141,748"," 50,882,891 "," $351,281.00 "," $6,903.72 "
Ethiopia,"1,104,300"," 114,963,588 "," $105,325.00 ", $916.16 
Bolivia,"1,098,581"," 11,673,021 "," $41,032.00 "," $3,515.11 "
Mauritania,"1,030,700"," 4,649,658 "," $9,280.00 "," $1,995.85 "
Egypt,"1,002,450"," 102,334,404 "," $435,621.00 "," $4,256.84 "
Tanzania,"945,087"," 59,734,218 "," $77,506.00 "," $1,297.51 "
Nigeria,"923,768"," 206,139,589 "," $510,588.00 "," $2,476.90 "
Venezuela,"916,445"," 28,435,940 "," $49,086.00 "," $1,726.20 "
Pakistan,"881,913"," 220,892,340 "," $347,743.00 "," $1,574.26 "
Namibia,"825,615"," 2,540,905 "," $13,019.00 "," $5,123.76 "
Mozambique,"801,590"," 31,255,435 "," $18,091.00 ", $578.81 
Turkey,"783,562"," 84,339,067 "," $692,380.00 "," $8,209.48 "
Chile,"756,102"," 19,116,201 "," $317,594.00 "," $16,613.87 "
Zambia,"752,612"," 18,383,955 "," $26,665.00 "," $1,450.45 "
Myanmar,"676,578"," 54,409,800 "," $69,262.00 "," $1,272.97 "
Afghanistan,"652,864"," 38,928,346 "," $20,136.00 ", $517.26 
South Sudan,"644,329"," 11,193,725 "," $5,730.00 ", $511.89 
France,"640,679"," 65,273,511 "," $2,936,702.00 "," $44,990.72 "
Somalia,"637,657"," 15,893,222 "," $8,491.00 ", $534.25 
Central African Republic,"622,984"," 4,829,767 "," $2,645.00 ", $547.65 
Ukraine,"603,500"," 43,733,762 "," $198,316.00 "," $4,534.62 "
Madagascar,"587,041"," 27,691,018 "," $14,616.00 ", $527.82 
Botswana,"581,730"," 2,351,627 "," $18,426.00 "," $7,835.43 "
Kenya,"580,367"," 53,771,296 "," $114,679.00 "," $2,132.72 "
Yemen,"555,000"," 29,825,964 "," $28,134.00 ", $943.27 
France,"543,940"," 65,273,511 "," $2,936,702.00 "," $44,990.72 "
Thailand,"513,120"," 69,799,978 "," $522,012.00 "," $7,478.68 "
Spain,"505,992"," 46,754,778 "," $1,435,560.00 "," $30,704.03 "
Turkmenistan,"488,100"," 6,031,200 "," $76,591.00 "," $12,699.13 "
Cameroon,"475,442"," 26,545,863 "," $45,713.00 "," $1,722.04 "
Papua New Guinea,"462,840"," 8,947,024 "," $29,919.00 "," $3,344.02 "
Sweden,"450,295"," 10,099,265 "," $621,241.00 "," $61,513.49 "
Uzbekistan,"447,400"," 33,469,203 "," $73,060.00 "," $2,182.90 "
Morocco,"446,550"," 36,910,560 "," $133,062.00 "," $3,604.98 "
Iraq,"438,317"," 40,222,493 "," $297,341.00 "," $7,392.41 "
